MMMV	SMILES	DISEASE
MMV020710	COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)c2cnn(n2)c3ccccc3	MALARIA
MMV020520	Cc1cc2ccccc2n1CC(=O)N3CC(Oc4ccccc34)C(=O)N5CCCCC5	MALARIA
MMV020321	COc1ccccc1C(C)NCC(=O)Nc2cc(ccc2Cl)C(F)(F)F	MALARIA
MMV407834	CCOc1ccccc1NC(C)C(=O)Nc2cc(ccc2N3CCOCC3)C(F)(F)F	MALARIA
MMV020165	CC(C)NCC(=O)Nc1cccc(c1)C(=O)Nc2cccc(c2)C(F)(F)F	MALARIA
MMV011903	Cc1ccc(NC(=O)c2nc[nH]c2C(=O)Nc3nc4ccccc4[nH]3)c(C)c1	MALARIA
MMV676528	CN(c1ccc(F)cc1)S(=O)(=O)c2ccc(Cl)c(c2)C(=O)Nc3cccc(C)n3	MALARIA
MMV024397	O=C(NC1CC1)c2ccc(nc2)N3CCC(Cc4ccccc4)CC3	MALARIA
MMV020391	CC(C)C(C(=O)Nc1ccc(cc1)S(=O)(=O)N(C)C)c2ccc(Cl)cc2	MALARIA
MMV020291	CC(N1CCN(CC1)S(=O)(=O)c2ccc(cc2)C(C)(C)C)C(=O)N3CCCC3	MALARIA
MMV019087	Cc1cc(C)n2nc(nc2n1)C(=O)Nc3cc(ccc3N4CCOCC4)C(F)(F)F	MALARIA
MMV084864	O=C(Nc1cnc2ccccc2c1)c3cccc(c3)n4cnnn4	MALARIA
MMV000858	Clc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=S)NCc3occc3	MALARIA
MMV020517	COc1ccccc1CNC(=O)c2cc(nc3c2cnn3C(C)C)C4CC4	MALARIA
MMV020289	Cc1ccc(NC(=O)c2cc(ccc2C)S(=O)(=O)NC(C)(C)C)nc1	MALARIA
MMV020591	CC(C)C(NC(=O)Cc1cccc2ccccc12)C(=O)Nc3cccc(c3)C#N	MALARIA
MMV019742	Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)c3cc([nH]n3)c4ccccc4	MALARIA
MMV085210	Clc1ccc(cc1)S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(=O)N4CCCCC4	MALARIA
MMV009054	Cc1onc(c1)C(=O)Nc2cnn(Cc3ccc(Cl)cc3Cl)c2	MALARIA
MMV016136	Cc1cc(Nc2ccncc2)n3nc(C)c(c4ccccc4Cl)c3n1	MALARIA
MMV676605	C[C@@]1(O)C[C@@H](C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26	MALARIA
MMV022478	Clc1cccc(c1)c2cnn3ccc(nc23)C(=O)Nc4ccc(cc4)N5CCNCC5	MALARIA
MMV020081	COc1cccc(CC(=O)N2CCC(CC2)n3c(C)nc4ccc(F)cc34)c1	MALARIA
MMV024406	Clc1cccc(NC(=O)c2cnc(N3CCN(CC3)c4ccncc4)c(Cl)c2)c1	MALARIA
MMV676877	OCCNc1ccc(cc1)C(=O)C2C[C@H]2c3ccc(Cl)cc3	MALARIA
MMV023388	FC(F)(F)c1cccc(c1)C(=O)NC2CCN(C2)c3ccnc4ccccc34	MALARIA
MMV676881	CCn1cnc2c(Nc3cc(F)cc(F)c3)nc(nc12)C#N	MALARIA
MMV023233	Nc1nccc2ccc(cc12)c3ccc4nccn4c3	MALARIA
MMV030734	CC(C)(CN)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccnc(N)n3	MALARIA
MMV010545	COc1ccc(cn1)c2cnc3ccc(NCc4ccc(cc4)S(=O)(=O)N)nn23	MALARIA
